$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_hr,tc2q,temper,alter#
-2.8000e-11,-2.8000e-11, 3.9905e-10,  25.00000,1
-2.7000e-11,-2.7000e-11, 3.9901e-10,  25.00000,1
-2.6000e-11,-2.6000e-11, 3.9893e-10,  25.00000,1
-2.5000e-11,-2.5000e-11, 3.9891e-10,  25.00000,1
-2.4000e-11,-2.4000e-11, 3.9884e-10,  25.00000,1
-2.3000e-11,-2.3000e-11, 3.9890e-10,  25.00000,1
-2.2000e-11,-2.2000e-11, 3.9890e-10,  25.00000,1
-2.1000e-11,-2.1000e-11, 3.9894e-10,  25.00000,1
-2.0000e-11,-2.0000e-11, 3.9895e-10,  25.00000,1
-1.9000e-11,-1.9000e-11, 3.9896e-10,  25.00000,1
-1.8000e-11,-1.8000e-11, 3.9898e-10,  25.00000,1
-1.7000e-11,-1.7000e-11, 3.9901e-10,  25.00000,1
-1.6000e-11,-1.6000e-11, 3.9905e-10,  25.00000,1
-1.5000e-11,-1.5000e-11, 3.9908e-10,  25.00000,1
-1.4000e-11,-1.4000e-11, 3.9913e-10,  25.00000,1
-1.3000e-11,-1.3000e-11, 3.9918e-10,  25.00000,1
-1.2000e-11,-1.2000e-11, 3.9921e-10,  25.00000,1
-1.1000e-11,-1.1000e-11, 3.9926e-10,  25.00000,1
-1.0000e-11,-1.0000e-11, 3.9933e-10,  25.00000,1
-9.0000e-12,-9.0000e-12, 3.9939e-10,  25.00000,1
-8.0000e-12,-8.0000e-12, 3.9947e-10,  25.00000,1
-7.0000e-12,-7.0000e-12, 3.9957e-10,  25.00000,1
-6.0000e-12,-6.0000e-12, 3.9962e-10,  25.00000,1
-5.0000e-12,-5.0000e-12, 3.9965e-10,  25.00000,1
-4.0000e-12,-4.0000e-12, 3.9969e-10,  25.00000,1
-3.0000e-12,-3.0000e-12, 3.9980e-10,  25.00000,1
-2.0000e-12,-2.0000e-12, 3.9986e-10,  25.00000,1
-1.0000e-12,-1.0000e-12, 3.9993e-10,  25.00000,1
   0.,   0., 3.9999e-10,  25.00000,1
 1.0000e-12, 1.0000e-12, 4.0009e-10,  25.00000,1
 2.0000e-12, 2.0000e-12, 4.0022e-10,  25.00000,1
 3.0000e-12, 3.0000e-12, 4.0027e-10,  25.00000,1
 4.0000e-12, 4.0000e-12, 4.0032e-10,  25.00000,1
 5.0000e-12, 5.0000e-12, 4.0035e-10,  25.00000,1
 6.0000e-12, 6.0000e-12, 4.0046e-10,  25.00000,1
 7.0000e-12, 7.0000e-12, 4.0059e-10,  25.00000,1
 8.0000e-12, 8.0000e-12, 4.0065e-10,  25.00000,1
 9.0000e-12, 9.0000e-12, 4.0074e-10,  25.00000,1
 1.0000e-11, 1.0000e-11, 4.0080e-10,  25.00000,1
 1.1000e-11, 1.1000e-11, 4.0086e-10,  25.00000,1
 1.2000e-11, 1.2000e-11, 4.0094e-10,  25.00000,1
 1.3000e-11, 1.3000e-11, 4.0098e-10,  25.00000,1
 1.4000e-11, 1.4000e-11, 4.0107e-10,  25.00000,1
 1.5000e-11, 1.5000e-11, 4.0111e-10,  25.00000,1
 1.6000e-11, 1.6000e-11, 4.0116e-10,  25.00000,1
 1.7000e-11, 1.7000e-11, 4.0122e-10,  25.00000,1
 1.8000e-11, 1.8000e-11, 4.0132e-10,  25.00000,1
 1.9000e-11, 1.9000e-11, 4.0137e-10,  25.00000,1
 2.0000e-11, 2.0000e-11, 4.0141e-10,  25.00000,1
 2.1000e-11, 2.1000e-11, 4.0153e-10,  25.00000,1
 2.2000e-11, 2.2000e-11, 4.0156e-10,  25.00000,1
 2.3000e-11, 2.3000e-11, 4.0157e-10,  25.00000,1
 2.4000e-11, 2.4000e-11, 4.0164e-10,  25.00000,1
 2.5000e-11, 2.5000e-11, 4.0172e-10,  25.00000,1
 2.6000e-11, 2.6000e-11, 4.0176e-10,  25.00000,1
 2.7000e-11, 2.7000e-11, 4.0174e-10,  25.00000,1
 2.8000e-11, 2.8000e-11, 4.0182e-10,  25.00000,1
 2.9000e-11, 2.9000e-11, 4.0186e-10,  25.00000,1
 3.0000e-11, 3.0000e-11, 4.0188e-10,  25.00000,1
 3.1000e-11, 3.1000e-11, 4.0193e-10,  25.00000,1
 3.2000e-11, 3.2000e-11, 4.0190e-10,  25.00000,1
 3.3000e-11, 3.3000e-11, 4.0196e-10,  25.00000,1
 3.4000e-11, 3.4000e-11, 4.0199e-10,  25.00000,1
 3.5000e-11, 3.5000e-11, 4.0197e-10,  25.00000,1
 3.6000e-11, 3.6000e-11, 4.0199e-10,  25.00000,1
 3.7000e-11, 3.7000e-11, 4.0198e-10,  25.00000,1
 3.8000e-11, 3.8000e-11, 4.0204e-10,  25.00000,1
 3.9000e-11, 3.9000e-11, 4.0200e-10,  25.00000,1
 4.0000e-11, 4.0000e-11, 4.0201e-10,  25.00000,1
 4.1000e-11, 4.1000e-11, 4.0200e-10,  25.00000,1
 4.2000e-11, 4.2000e-11, 4.0199e-10,  25.00000,1
 4.3000e-11, 4.3000e-11, 4.0199e-10,  25.00000,1
 4.4000e-11, 4.4000e-11, 4.0191e-10,  25.00000,1
 4.5000e-11, 4.5000e-11, 4.0191e-10,  25.00000,1
 4.6000e-11, 4.6000e-11, 4.0195e-10,  25.00000,1
 4.7000e-11, 4.7000e-11, 4.0187e-10,  25.00000,1
 4.8000e-11, 4.8000e-11, 4.0190e-10,  25.00000,1
 4.9000e-11, 4.9000e-11, 4.0187e-10,  25.00000,1
 5.0000e-11, 5.0000e-11, 4.0185e-10,  25.00000,1
 5.1000e-11, 5.1000e-11, 4.0183e-10,  25.00000,1
 5.2000e-11, 5.2000e-11, 4.0177e-10,  25.00000,1
 5.3000e-11, 5.3000e-11, 4.0177e-10,  25.00000,1
 5.4000e-11, 5.4000e-11, 4.0176e-10,  25.00000,1
 5.5000e-11, 5.5000e-11, 4.0165e-10,  25.00000,1
 5.6000e-11, 5.6000e-11, 4.0164e-10,  25.00000,1
 5.7000e-11, 5.7000e-11, 4.0159e-10,  25.00000,1
 5.8000e-11, 5.8000e-11, 4.0164e-10,  25.00000,1
 5.9000e-11, 5.9000e-11, 4.0159e-10,  25.00000,1
 6.0000e-11, 6.0000e-11, 4.0152e-10,  25.00000,1
 6.1000e-11, 6.1000e-11, 4.0143e-10,  25.00000,1
 6.2000e-11, 6.2000e-11, 4.0135e-10,  25.00000,1
 6.3000e-11, 6.3000e-11, 4.0133e-10,  25.00000,1
 6.4000e-11, 6.4000e-11, 4.0128e-10,  25.00000,1
 6.5000e-11, 6.5000e-11, 4.0119e-10,  25.00000,1
 6.6000e-11, 6.6000e-11, 4.0115e-10,  25.00000,1
 6.7000e-11, 6.7000e-11, 4.0108e-10,  25.00000,1
 6.8000e-11, 6.8000e-11, 4.0096e-10,  25.00000,1
 6.9000e-11, 6.9000e-11, 4.0091e-10,  25.00000,1
 7.0000e-11, 7.0000e-11, 4.0095e-10,  25.00000,1
 7.1000e-11, 7.1000e-11, 4.0086e-10,  25.00000,1
 7.2000e-11, 7.2000e-11, 4.0078e-10,  25.00000,1
 7.3000e-11, 7.3000e-11, 4.0072e-10,  25.00000,1
 7.4000e-11, 7.4000e-11, 4.0074e-10,  25.00000,1
 7.5000e-11, 7.5000e-11, 4.0063e-10,  25.00000,1
 7.6000e-11, 7.6000e-11, 4.0055e-10,  25.00000,1
 7.7000e-11, 7.7000e-11, 4.0049e-10,  25.00000,1
 7.8000e-11, 7.8000e-11, 4.0042e-10,  25.00000,1
 7.9000e-11, 7.9000e-11, 4.0031e-10,  25.00000,1
 8.0000e-11, 8.0000e-11, 4.0034e-10,  25.00000,1
 8.1000e-11, 8.1000e-11, 4.0027e-10,  25.00000,1
 8.2000e-11, 8.2000e-11, 4.0011e-10,  25.00000,1
 8.3000e-11, 8.3000e-11, 4.0015e-10,  25.00000,1
 8.4000e-11, 8.4000e-11, 4.0006e-10,  25.00000,1
 8.5000e-11, 8.5000e-11, 3.9998e-10,  25.00000,1
 8.6000e-11, 8.6000e-11, 3.9992e-10,  25.00000,1
 8.7000e-11, 8.7000e-11, 3.9989e-10,  25.00000,1
 8.8000e-11, 8.8000e-11, 3.9983e-10,  25.00000,1
 8.9000e-11, 8.9000e-11, 3.9970e-10,  25.00000,1
 9.0000e-11, 9.0000e-11, 3.9969e-10,  25.00000,1
 9.1000e-11, 9.1000e-11, 3.9964e-10,  25.00000,1
 9.2000e-11, 9.2000e-11, 3.9952e-10,  25.00000,1
 9.3000e-11, 9.3000e-11, 3.9942e-10,  25.00000,1
 9.4000e-11, 9.4000e-11, 3.9941e-10,  25.00000,1
