$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_sur,td2qr,tck2qr,temper,alter#
-4.5000e-11,-4.5000e-11, 2.0331e-08, 2.0376e-08,  25.00000,1
-4.4000e-11,-4.4000e-11, 2.0332e-08, 2.0376e-08,  25.00000,1
-4.3000e-11,-4.3000e-11, 2.0333e-08, 2.0376e-08,  25.00000,1
-4.2000e-11,-4.2000e-11, 2.0334e-08, 2.0376e-08,  25.00000,1
-4.1000e-11,-4.1000e-11, 2.0335e-08, 2.0376e-08,  25.00000,1
-4.0000e-11,-4.0000e-11, 2.0336e-08, 2.0376e-08,  25.00000,1
-3.9000e-11,-3.9000e-11, 2.0337e-08, 2.0376e-08,  25.00000,1
-3.8000e-11,-3.8000e-11, 2.0338e-08, 2.0376e-08,  25.00000,1
-3.7000e-11,-3.7000e-11, 2.0339e-08, 2.0376e-08,  25.00000,1
-3.6000e-11,-3.6000e-11, 2.0340e-08, 2.0376e-08,  25.00000,1
-3.5000e-11,-3.5000e-11, 2.0341e-08, 2.0376e-08,  25.00000,1
-3.4000e-11,-3.4000e-11, 2.0342e-08, 2.0376e-08,  25.00000,1
-3.3000e-11,-3.3000e-11, 2.0343e-08, 2.0376e-08,  25.00000,1
-3.2000e-11,-3.2000e-11, 2.0344e-08, 2.0376e-08,  25.00000,1
-3.1000e-11,-3.1000e-11, 2.0345e-08, 2.0376e-08,  25.00000,1
-3.0000e-11,-3.0000e-11, 2.0346e-08, 2.0376e-08,  25.00000,1
-2.9000e-11,-2.9000e-11, 2.0347e-08, 2.0376e-08,  25.00000,1
-2.8000e-11,-2.8000e-11, 2.0348e-08, 2.0376e-08,  25.00000,1
-2.7000e-11,-2.7000e-11, 2.0349e-08, 2.0376e-08,  25.00000,1
-2.6000e-11,-2.6000e-11, 2.0350e-08, 2.0376e-08,  25.00000,1
-2.5000e-11,-2.5000e-11, 2.0351e-08, 2.0376e-08,  25.00000,1
-2.4000e-11,-2.4000e-11, 2.0352e-08, 2.0376e-08,  25.00000,1
-2.3000e-11,-2.3000e-11, 2.0353e-08, 2.0376e-08,  25.00000,1
-2.2000e-11,-2.2000e-11, 2.0354e-08, 2.0376e-08,  25.00000,1
-2.1000e-11,-2.1000e-11, 2.0355e-08, 2.0376e-08,  25.00000,1
-2.0000e-11,-2.0000e-11, 2.0356e-08, 2.0376e-08,  25.00000,1
-1.9000e-11,-1.9000e-11, 2.0357e-08, 2.0376e-08,  25.00000,1
-1.8000e-11,-1.8000e-11, 2.0358e-08, 2.0376e-08,  25.00000,1
-1.7000e-11,-1.7000e-11, 2.0359e-08, 2.0376e-08,  25.00000,1
-1.6000e-11,-1.6000e-11, 2.0360e-08, 2.0376e-08,  25.00000,1
-1.5000e-11,-1.5000e-11, 2.0361e-08, 2.0376e-08,  25.00000,1
-1.4000e-11,-1.4000e-11, 2.0362e-08, 2.0376e-08,  25.00000,1
-1.3000e-11,-1.3000e-11, 2.0363e-08, 2.0376e-08,  25.00000,1
-1.2000e-11,-1.2000e-11, 2.0364e-08, 2.0376e-08,  25.00000,1
-1.1000e-11,-1.1000e-11, 2.0365e-08, 2.0376e-08,  25.00000,1
-1.0000e-11,-1.0000e-11, 2.0366e-08, 2.0376e-08,  25.00000,1
-9.0000e-12,-9.0000e-12, 2.0367e-08, 2.0376e-08,  25.00000,1
-8.0000e-12,-8.0000e-12, 2.0368e-08, 2.0376e-08,  25.00000,1
-7.0000e-12,-7.0000e-12, 2.0369e-08, 2.0376e-08,  25.00000,1
-6.0000e-12,-6.0000e-12, 2.0370e-08, 2.0376e-08,  25.00000,1
-5.0000e-12,-5.0000e-12, 2.0371e-08, 2.0376e-08,  25.00000,1
