$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_sur,td2qr,tck2qr,temper,alter#
-5.7000e-11,-5.7000e-11, 2.0406e-08, 2.0463e-08,  25.00000,1
-5.6000e-11,-5.6000e-11, 2.0407e-08, 2.0463e-08,  25.00000,1
-5.5000e-11,-5.5000e-11, 2.0408e-08, 2.0463e-08,  25.00000,1
-5.4000e-11,-5.4000e-11, 2.0409e-08, 2.0463e-08,  25.00000,1
-5.3000e-11,-5.3000e-11, 2.0410e-08, 2.0463e-08,  25.00000,1
-5.2000e-11,-5.2000e-11, 2.0411e-08, 2.0463e-08,  25.00000,1
-5.1000e-11,-5.1000e-11, 2.0412e-08, 2.0463e-08,  25.00000,1
-5.0000e-11,-5.0000e-11, 2.0413e-08, 2.0463e-08,  25.00000,1
-4.9000e-11,-4.9000e-11, 2.0414e-08, 2.0463e-08,  25.00000,1
-4.8000e-11,-4.8000e-11, 2.0415e-08, 2.0463e-08,  25.00000,1
-4.7000e-11,-4.7000e-11, 2.0416e-08, 2.0463e-08,  25.00000,1
-4.6000e-11,-4.6000e-11, 2.0417e-08, 2.0463e-08,  25.00000,1
-4.5000e-11,-4.5000e-11, 2.0418e-08, 2.0463e-08,  25.00000,1
-4.4000e-11,-4.4000e-11, 2.0419e-08, 2.0463e-08,  25.00000,1
-4.3000e-11,-4.3000e-11, 2.0420e-08, 2.0463e-08,  25.00000,1
-4.2000e-11,-4.2000e-11, 2.0421e-08, 2.0463e-08,  25.00000,1
-4.1000e-11,-4.1000e-11, 2.0422e-08, 2.0463e-08,  25.00000,1
-4.0000e-11,-4.0000e-11, 2.0423e-08, 2.0463e-08,  25.00000,1
-3.9000e-11,-3.9000e-11, 2.0424e-08, 2.0463e-08,  25.00000,1
-3.8000e-11,-3.8000e-11, 2.0425e-08, 2.0463e-08,  25.00000,1
-3.7000e-11,-3.7000e-11, 2.0426e-08, 2.0463e-08,  25.00000,1
-3.6000e-11,-3.6000e-11, 2.0427e-08, 2.0463e-08,  25.00000,1
-3.5000e-11,-3.5000e-11, 2.0428e-08, 2.0463e-08,  25.00000,1
-3.4000e-11,-3.4000e-11, 2.0429e-08, 2.0463e-08,  25.00000,1
-3.3000e-11,-3.3000e-11, 2.0430e-08, 2.0463e-08,  25.00000,1
-3.2000e-11,-3.2000e-11, 2.0431e-08, 2.0463e-08,  25.00000,1
-3.1000e-11,-3.1000e-11, 2.0432e-08, 2.0463e-08,  25.00000,1
-3.0000e-11,-3.0000e-11, 2.0433e-08, 2.0463e-08,  25.00000,1
-2.9000e-11,-2.9000e-11, 2.0434e-08, 2.0463e-08,  25.00000,1
-2.8000e-11,-2.8000e-11, 2.0435e-08, 2.0463e-08,  25.00000,1
-2.7000e-11,-2.7000e-11, 2.0436e-08, 2.0463e-08,  25.00000,1
-2.6000e-11,-2.6000e-11, 2.0437e-08, 2.0463e-08,  25.00000,1
-2.5000e-11,-2.5000e-11, 2.0438e-08, 2.0463e-08,  25.00000,1
-2.4000e-11,-2.4000e-11, 2.0439e-08, 2.0463e-08,  25.00000,1
-2.3000e-11,-2.3000e-11, 2.0440e-08, 2.0463e-08,  25.00000,1
-2.2000e-11,-2.2000e-11, 2.0441e-08, 2.0463e-08,  25.00000,1
-2.1000e-11,-2.1000e-11, 2.0442e-08, 2.0463e-08,  25.00000,1
-2.0000e-11,-2.0000e-11, 2.0443e-08, 2.0463e-08,  25.00000,1
-1.9000e-11,-1.9000e-11, 2.0444e-08, 2.0463e-08,  25.00000,1
