$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_hr,tc2q,temper,alter#
 1.3500e-10, 1.3500e-10, 4.6271e-10,  25.00000,1
 1.3600e-10, 1.3600e-10, 4.6281e-10,  25.00000,1
 1.3700e-10, 1.3700e-10, 4.6268e-10,  25.00000,1
 1.3800e-10, 1.3800e-10, 4.6279e-10,  25.00000,1
 1.3900e-10, 1.3900e-10, 4.6279e-10,  25.00000,1
 1.4000e-10, 1.4000e-10, 4.6262e-10,  25.00000,1
 1.4100e-10, 1.4100e-10, 4.6259e-10,  25.00000,1
 1.4200e-10, 1.4200e-10, 4.6257e-10,  25.00000,1
 1.4300e-10, 1.4300e-10, 4.6270e-10,  25.00000,1
 1.4400e-10, 1.4400e-10, 4.6274e-10,  25.00000,1
 1.4500e-10, 1.4500e-10, 4.6262e-10,  25.00000,1
 1.4600e-10, 1.4600e-10, 4.6249e-10,  25.00000,1
 1.4700e-10, 1.4700e-10, 4.6250e-10,  25.00000,1
 1.4800e-10, 1.4800e-10, 4.6247e-10,  25.00000,1
 1.4900e-10, 1.4900e-10, 4.6253e-10,  25.00000,1
 1.5000e-10, 1.5000e-10, 4.6251e-10,  25.00000,1
